,argentina,australia,brazil,canada,china,france,germany,india,indonesia,italy,japan,korea,mexico,russia,arabia,africa,turkey,uk,america,eu,theme
0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,entertainment
1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,entertainment
2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,entertainment
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,entertainment
4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,entertainment
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,entertainment
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,entertainment
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,entertainment
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,entertainment
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,entertainment
10,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,entertainment
11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,entertainment
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,entertainment
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,entertainment
14,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,entertainment
15,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,entertainment
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,entertainment
17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,entertainment
18,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,entertainment
19,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,entertainment
20,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,entertainment
21,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,entertainment
22,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,entertainment
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,entertainment
24,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,entertainment
25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,entertainment
26,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,entertainment
27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,entertainment
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,entertainment
